SKILL,TRAINEE,JUNIOR,MIDDLE,SENIOR,SKILL_ID,QUESTION_ID
Язык программирования Kotlin,Отсутствуют знания,Знaю основы Kotlin. Знаю базовые конструкции языка и Использую их по назначению. ,"Умею оптимизировать код, писать алгоритмы и использовать структуры данных. Знаю о других парадигмах языка программирования и Использую другие языки на необходимом уровне для создания удобочитаемых и работающих программ.Понимаю как устроен и работает язык, Понимаю сферы его применения и лучшие практики.

","Знаю другие парадигмы программирования на необходимом уровне для создания удобочитаемых и работающих программ. Использую исходные тексты стандартных библиотек и инструментария для оптимизации и улучшения понимания работы кода. Обладаю углубленными познаниями по языку программирования. Понимаю особенности языка программирования, активно следит за развитием языка",5b8a3e5f-a73d-4e10-bcc8-198b6e68f501,c1b3db34-eec9-4c15-bd95-df79a47121c1
Базы данных,Отсутствуют знания,Умею работать с релляционными БД (Postgresql),"Умею работать с релляционными БД (Postgresql) и нерялляционными (MongoDB, Redis) ","Умею работать с релляционными БД (MySQL, Postgresql), нерялляционными (MongoDB) и графовыми (Neo4j). Знаю отличия между видами баз данных (NoSQL, SQL, NewSQL). Использую внутренний язык написания запросов (SQL) для каждой базы данных

",8ea58e10-1385-484a-89c8-d03883f0d519,8300b15c-ae90-4e35-bcb1-8f14f3b95828
SQL,Не слышал о таком,Умею писать простые одиночные запросы с минимум условий в одной таблице,"Умею писать межтабличные запросы с использованием JOIN, группировкиб сортировки. Понимаю что такое индексы, хранимые процедуры и функции. Проектирую сущности для конкретной предметной области","Проектирую логически правильную структуру БД (нормальная форма 3). Пишу оптимальные запросы по скорости выполнения. Использую средства и инструменты, предоставляемые СУБД (Postgresql).",d39fb9a6-cc8e-4e08-80ea-a7f0b1fc0b3a,b810dcab-a828-49e5-b2b1-c9f7d67c506f
"Знание основ верстки, JS",Отсутствуют знания,Умею верстать простые сайты,"Умею верстать адаптивные веб-сайты, используя различные подходы в верстке",Умею обходиться без JavaScript в реализации анимаций,1a5ede2b-9e10-46e2-9986-1a819248f1ed,d252dee9-31a9-4f98-b21f-b9d669b83d83
Контроль версий исходников,Бэкап исходников в папку с датой бэкапа,"Умею коммитить и пушить код в репозиторий

","Умею работать с ветками, пулл (мерж) реквестами, решать конфликты изменений","Использование squash, cherry-pick в своей работе. Соблюдение и ведение разработки по заданному gitflow",a1dcad4c-26ec-4db3-b94b-e9b13f03ade2,2409fd46-b2a8-4059-ab9c-e8aceaee63dc
Среда программирования (IDE),В основном использует IDE для редактирования текста,Способен эффективно пользоваться меню в IDE. Знаю некоторые тонкости среды,Для самых используемых функций среды Знаю горячие клавиши,"Написал свои расширения для IDE. При работе в IDE чаще использует горячие клавиши, а не мышку",1d4a44c3-63f7-49a4-ab09-dceeb6dcc6fe,3f11ed57-6ea9-4791-b461-1d2271319214
Restful API,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно. Умею интегрироваться с любым открытым интернет ресурсом. ","Умею писать API для разрабатываемого сервиса. Использует Swagger для базового документирования API сервиса.

","Использует Swagger для полного документирования API сервиса. Знаю и применяет, когда это необходимо, другие способы интеграций gRPC, graphQL, WebSocket и др.",e16ece91-a147-4d67-8deb-373c80c62aec,b4542b8a-9c59-4149-9c75-df8acc2c878f
Авторизация,Отсутствуют знания,Знаю различные виды авторизаций и как их использовать,"Реализует авторизацию в поставленной задаче. Умею интегрировать с сервисами, предоставляющим авторизацию.","Объясняет различия между аутентификацией, авторизацией и идентификацией.",3242756b-8c16-4f61-80c0-04746ba94060,f7e9260d-ebc6-4c28-99f0-c1cfa7caeef7
Кэширование,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно

",Знаю принципы работы и назначение использования. Умею применять в конкретных задачах,"Знаю разницу между уровнями, видами и способами кэширования.Использует redis, ehcache или hazelcast.",b535d533-8a11-4979-bd0c-b0d52e55c7f9,60e0d078-7c36-43b4-a69c-35ea28da4329
Тестирование,Не слышал о таком,"Знаю что это такое, как работает и зачем нужно",Умею писать простые тесты для проверки работы кода (Unit-тесты).Знаю другие виды тестирования.,"Умею писать различные виды тестов (unit-тесты, e2e, интеграционные) под конкретнные задачи.",00f170f7-434c-4884-8016-b902eb090207,ee2c8fbe-df36-4483-9e2c-e01c03577f91
